customer_id,account_id,account_age_days,customer_type,residence_country,industry,risk_segment,kyc_status,pep_flag,expected_monthly_volume,expected_amount,expected_min,expected_max
11,SYN-ACCOUNT-00011,2927,PERSON,SG,TECHNOLOGY,LOW,COMPLETE,False,73,990.1515917221707,198.03031834443414,2970.4547751665123
18,SYN-ACCOUNT-00018,2520,BUSINESS,GB,TECHNOLOGY,LOW,COMPLETE,False,69,587.9744534961244,117.59489069922489,1763.9233604883732
22,SYN-ACCOUNT-00022,555,BUSINESS,US,RETAIL,HIGH,COMPLETE,False,86,664.5063509589423,132.90127019178848,1993.5190528768271
62,SYN-ACCOUNT-00062,1106,PERSON,DE,SERVICES,LOW,COMPLETE,False,56,1491.148517274005,298.229703454801,4473.445551822015
69,SYN-ACCOUNT-00069,1413,PERSON,GB,TECHNOLOGY,LOW,COMPLETE,False,51,324.2957857300993,64.85915714601985,972.8873571902978
74,SYN-ACCOUNT-00074,2062,BUSINESS,IN,TECHNOLOGY,HIGH,PENDING,False,39,429.17548870246355,85.83509774049271,1287.5264661073907
127,SYN-ACCOUNT-00127,2297,BUSINESS,GB,TECHNOLOGY,MEDIUM,COMPLETE,False,80,1717.7374112288587,343.5474822457718,5153.212233686576
133,SYN-ACCOUNT-00133,1682,PERSON,US,SERVICES,LOW,COMPLETE,False,42,1543.892935943303,308.7785871886606,4631.678807829909
167,SYN-ACCOUNT-00167,509,BUSINESS,GB,TECHNOLOGY,LOW,COMPLETE,False,28,1513.5539020795377,302.71078041590755,4540.661706238613
169,SYN-ACCOUNT-00169,77,BUSINESS,DE,TECHNOLOGY,MEDIUM,COMPLETE,False,12,392.0349857994521,78.40699715989042,1176.1049573983564
176,SYN-ACCOUNT-00176,2154,PERSON,IN,TECHNOLOGY,LOW,COMPLETE,False,12,296.68443749465246,59.336887498930494,890.0533124839574
198,SYN-ACCOUNT-00198,1023,BUSINESS,SG,RETAIL,MEDIUM,COMPLETE,False,34,1187.6280373181057,237.52560746362116,3562.884111954317
218,SYN-ACCOUNT-00218,1346,PERSON,US,RETAIL,MEDIUM,COMPLETE,False,91,248.07925591911078,49.61585118382216,744.2377677573323
220,SYN-ACCOUNT-00220,391,BUSINESS,GB,RETAIL,LOW,COMPLETE,False,71,1474.7852441286714,294.95704882573426,4424.355732386014
228,SYN-ACCOUNT-00228,1645,PERSON,IN,RETAIL,MEDIUM,COMPLETE,False,15,254.39805996613077,50.879611993226156,763.1941798983923
233,SYN-ACCOUNT-00233,2277,PERSON,IN,RETAIL,MEDIUM,COMPLETE,False,23,603.9431764454974,120.78863528909949,1811.8295293364922
263,SYN-ACCOUNT-00263,2776,BUSINESS,DE,TECHNOLOGY,MEDIUM,COMPLETE,False,76,551.5091487641189,110.30182975282378,1654.5274462923567
265,SYN-ACCOUNT-00265,1747,PERSON,SG,RETAIL,MEDIUM,COMPLETE,False,47,850.1809005753574,170.0361801150715,2550.542701726072
269,SYN-ACCOUNT-00269,1776,BUSINESS,US,TECHNOLOGY,MEDIUM,COMPLETE,False,12,518.3528384003432,103.67056768006864,1555.0585152010296
272,SYN-ACCOUNT-00272,462,PERSON,SG,SERVICES,LOW,COMPLETE,False,19,1146.1020946133174,229.2204189226635,3438.306283839952
294,SYN-ACCOUNT-00294,1639,BUSINESS,SG,RETAIL,LOW,COMPLETE,False,34,251.03557499783193,50.207114999566386,753.1067249934958
295,SYN-ACCOUNT-00295,1566,BUSINESS,SG,TECHNOLOGY,HIGH,COMPLETE,False,50,1248.449024595088,249.68980491901763,3745.347073785264
303,SYN-ACCOUNT-00303,2689,BUSINESS,GB,SERVICES,MEDIUM,COMPLETE,False,41,1056.0268734403642,211.20537468807285,3168.0806203210923
304,SYN-ACCOUNT-00304,1633,BUSINESS,DE,RETAIL,LOW,COMPLETE,False,72,1584.063770607263,316.8127541214526,4752.191311821789
314,SYN-ACCOUNT-00314,739,PERSON,DE,TECHNOLOGY,LOW,COMPLETE,False,24,1325.3392108512226,265.06784217024455,3976.0176325536677
323,SYN-ACCOUNT-00323,2748,BUSINESS,IN,TECHNOLOGY,LOW,COMPLETE,False,87,1107.6907513979568,221.53815027959138,3323.0722541938703
334,SYN-ACCOUNT-00334,1385,BUSINESS,SG,RETAIL,HIGH,COMPLETE,False,48,461.415576290305,92.283115258061,1384.246728870915
360,SYN-ACCOUNT-00360,2538,BUSINESS,GB,SERVICES,LOW,COMPLETE,False,50,1508.4446598695379,301.6889319739076,4525.333979608614
384,SYN-ACCOUNT-00384,105,PERSON,IN,RETAIL,HIGH,COMPLETE,False,94,1409.653783017501,281.9307566035002,4228.961349052503
390,SYN-ACCOUNT-00390,2242,PERSON,GB,TECHNOLOGY,HIGH,COMPLETE,False,29,1277.2901247764137,255.45802495528275,3831.870374329241
407,SYN-ACCOUNT-00407,440,BUSINESS,GB,SERVICES,MEDIUM,COMPLETE,False,41,1258.5556631361408,251.71113262722815,3775.6669894084225
413,SYN-ACCOUNT-00413,404,BUSINESS,DE,RETAIL,LOW,COMPLETE,False,66,1005.1139235553055,201.02278471106112,3015.3417706659166
415,SYN-ACCOUNT-00415,2036,PERSON,US,RETAIL,LOW,COMPLETE,False,47,1743.3550988792524,348.6710197758505,5230.0652966377575
432,SYN-ACCOUNT-00432,2479,PERSON,SG,RETAIL,LOW,COMPLETE,False,90,616.7022641010419,123.34045282020838,1850.1067923031258
461,SYN-ACCOUNT-00461,429,PERSON,IN,SERVICES,HIGH,COMPLETE,False,15,1241.989890513075,248.39797810261499,3725.9696715392247
473,SYN-ACCOUNT-00473,1407,PERSON,GB,TECHNOLOGY,MEDIUM,COMPLETE,False,42,1527.6747173637948,305.534943472759,4583.024152091384
528,SYN-ACCOUNT-00528,2746,PERSON,US,TECHNOLOGY,HIGH,COMPLETE,False,45,330.6042604456103,66.12085208912207,991.8127813368309
531,SYN-ACCOUNT-00531,504,BUSINESS,GB,RETAIL,MEDIUM,COMPLETE,False,74,257.8588041953741,51.57176083907482,773.5764125861223
534,SYN-ACCOUNT-00534,1736,BUSINESS,GB,TECHNOLOGY,MEDIUM,COMPLETE,False,76,409.16774780660626,81.83354956132126,1227.5032434198188
551,SYN-ACCOUNT-00551,1186,PERSON,GB,TECHNOLOGY,LOW,COMPLETE,False,14,503.69903210657867,100.73980642131573,1511.097096319736
558,SYN-ACCOUNT-00558,2380,PERSON,DE,TECHNOLOGY,MEDIUM,COMPLETE,False,98,1477.7014269646215,295.5402853929243,4433.104280893865
576,SYN-ACCOUNT-00576,2778,PERSON,GB,RETAIL,MEDIUM,PENDING,False,96,1426.588716353647,285.3177432707294,4279.766149060941
580,SYN-ACCOUNT-00580,289,PERSON,GB,SERVICES,LOW,COMPLETE,False,94,1431.4823834736737,286.29647669473474,4294.447150421021
588,SYN-ACCOUNT-00588,2513,BUSINESS,DE,RETAIL,MEDIUM,COMPLETE,False,29,379.1914476212322,75.83828952424645,1137.5743428636965
591,SYN-ACCOUNT-00591,2708,PERSON,GB,TECHNOLOGY,MEDIUM,COMPLETE,False,45,1483.06539086853,296.613078173706,4449.19617260559
598,SYN-ACCOUNT-00598,1887,BUSINESS,SG,RETAIL,LOW,COMPLETE,False,55,266.87246445160963,53.37449289032193,800.6173933548289
600,SYN-ACCOUNT-00600,1852,BUSINESS,SG,RETAIL,HIGH,COMPLETE,False,36,1356.081318311861,271.2162636623722,4068.243954935583
631,SYN-ACCOUNT-00631,989,BUSINESS,IN,RETAIL,MEDIUM,COMPLETE,False,94,641.7790787262329,128.3558157452466,1925.3372361786987
648,SYN-ACCOUNT-00648,2881,BUSINESS,IN,SERVICES,HIGH,COMPLETE,False,97,587.8152689053727,117.56305378107454,1763.445806716118
667,SYN-ACCOUNT-00667,2583,BUSINESS,GB,RETAIL,MEDIUM,COMPLETE,False,65,199.79131231186688,39.958262462373376,599.3739369356006
674,SYN-ACCOUNT-00674,1869,BUSINESS,SG,SERVICES,HIGH,COMPLETE,False,82,1715.623215490572,343.1246430981144,5146.869646471716
678,SYN-ACCOUNT-00678,1574,BUSINESS,DE,TECHNOLOGY,MEDIUM,COMPLETE,False,68,310.1987308235985,62.0397461647197,930.5961924707956
716,SYN-ACCOUNT-00716,1557,PERSON,SG,SERVICES,HIGH,COMPLETE,False,61,987.5808356663543,197.51616713327087,2962.742506999063
720,SYN-ACCOUNT-00720,426,BUSINESS,US,TECHNOLOGY,HIGH,COMPLETE,False,76,436.18427856263804,87.23685571252761,1308.552835687914
729,SYN-ACCOUNT-00729,1977,PERSON,DE,RETAIL,HIGH,COMPLETE,False,78,1629.3145491055168,325.86290982110336,4887.943647316551
743,SYN-ACCOUNT-00743,818,BUSINESS,IN,RETAIL,LOW,COMPLETE,False,17,1500.605655355646,300.1211310711292,4501.816966066937
752,SYN-ACCOUNT-00752,267,BUSINESS,SG,SERVICES,MEDIUM,COMPLETE,False,60,1273.7473989248929,254.74947978497858,3821.2421967746786
759,SYN-ACCOUNT-00759,2191,PERSON,DE,TECHNOLOGY,LOW,COMPLETE,False,25,1635.7740610112198,327.154812202244,4907.32218303366
804,SYN-ACCOUNT-00804,2217,PERSON,DE,SERVICES,MEDIUM,COMPLETE,False,48,1057.6396681298716,211.52793362597433,3172.9190043896147
812,SYN-ACCOUNT-00812,2056,PERSON,US,SERVICES,MEDIUM,COMPLETE,False,78,647.5980475182989,129.51960950365978,1942.7941425548968
838,SYN-ACCOUNT-00838,53,PERSON,SG,RETAIL,HIGH,COMPLETE,False,48,351.2750276679743,70.25500553359487,1053.8250830039228
840,SYN-ACCOUNT-00840,873,PERSON,DE,RETAIL,LOW,COMPLETE,False,15,1429.5019319899998,285.90038639799997,4288.505795969999
850,SYN-ACCOUNT-00850,2940,PERSON,SG,SERVICES,LOW,PENDING,False,95,896.8706789165348,179.37413578330697,2690.612036749604
866,SYN-ACCOUNT-00866,2461,PERSON,US,SERVICES,LOW,COMPLETE,True,68,204.8347185614894,40.96694371229788,614.5041556844683
892,SYN-ACCOUNT-00892,1572,PERSON,GB,RETAIL,HIGH,COMPLETE,False,22,1585.6033208370225,317.1206641674045,4756.809962511067
897,SYN-ACCOUNT-00897,172,BUSINESS,US,RETAIL,MEDIUM,COMPLETE,False,32,1405.979269920203,281.19585398404064,4217.9378097606095
909,SYN-ACCOUNT-00909,284,PERSON,DE,TECHNOLOGY,MEDIUM,COMPLETE,False,57,1683.1054614994823,336.6210922998965,5049.3163844984465
924,SYN-ACCOUNT-00924,752,PERSON,IN,SERVICES,MEDIUM,COMPLETE,False,19,637.8132940091273,127.56265880182546,1913.4398820273818
956,SYN-ACCOUNT-00956,1208,PERSON,GB,RETAIL,MEDIUM,COMPLETE,False,67,1713.6623423443375,342.7324684688675,5140.987027033012
994,SYN-ACCOUNT-00994,1593,BUSINESS,DE,TECHNOLOGY,LOW,COMPLETE,False,64,1547.6350928967943,309.52701857935887,4642.905278690383
1018,SYN-ACCOUNT-01018,134,BUSINESS,DE,SERVICES,LOW,COMPLETE,False,17,374.96793507818415,74.99358701563683,1124.9038052345525
1026,SYN-ACCOUNT-01026,242,PERSON,IN,RETAIL,HIGH,COMPLETE,False,11,183.69588909234156,36.73917781846831,551.0876672770247
1037,SYN-ACCOUNT-01037,53,PERSON,US,SERVICES,HIGH,COMPLETE,False,37,901.9279771066597,180.38559542133194,2705.7839313199793
